	protein_match	strain_name	accession	taxon	DNA_type	DNA_topolgy	DNA_length	protein_id	location	product	pident	evalue	qcov
23	Tpg	NBC_00843	CP108849	['Streptomyces niveus']	chromosome	linear	8502813	PRJNA747871:OG211_00210	[41849:42407](-)	['XRE family transcriptional regulator']	87.568	1.67e-118	100
24	Tpg	NBC_01210	CP108550	['Streptomyces sp. NBC_01210']	plasmid	linear	131861	PRJNA747871:OG735_41085	[10191:10749](-)	['XRE family transcriptional regulator']	88.108	3.51e-118	100
25	Tpg	NBC_00710	CP108995	['Streptomyces canus']	chromosome	linear	10812875	PRJNA747871:OIE08_49430	[10806389:10806947](+)	['XRE family transcriptional regulator']	88.649	4.33e-118	100
26	Tpg	NBC_00710	CP108995	['Streptomyces canus']	chromosome	linear	10812875	PRJNA747871:OIE08_00030	[5928:6486](-)	['XRE family transcriptional regulator']	88.649	4.33e-118	100
27	Tpg	NBC_00280	CP108059	['Streptomyces sp. NBC 00280']	chromosome	linear	10398828	PRJNA747871:OG960_00035	[6860:7418](-)	['XRE family transcriptional regulator']	88.649	5.88e-118	100
28	Tpg	NBC_00302	CP108038	['Streptomyces bobili']	chromosome	linear	9287515	PRJNA747871:OHT53_41585	[9281590:9282148](+)	['XRE family transcriptional regulator']	88.649	6.35e-118	100
29	Tpg	NBC_00302	CP108038	['Streptomyces bobili']	chromosome	linear	9287515	PRJNA747871:OHT53_00025	[5322:5880](-)	['XRE family transcriptional regulator']	88.649	6.35e-118	100
30	Tpg	NBC_01530	CP109394	['Streptomyces sp. NBC_01530']	chromosome	linear	9331707	PRJNA747871:OG346_43075	[9201023:9201581](+)	['XRE family transcriptional regulator']	88.108	1.08e-117	100
31	Tpg	NBC_01530	CP109394	['Streptomyces sp. NBC_01530']	chromosome	linear	9331707	PRJNA747871:OG346_00530	[130061:130619](-)	['XRE family transcriptional regulator']	88.108	1.08e-117	100
32	Tpg	NBC_01224	CP108530	['Streptomyces sp. NBC_01224']	plasmid	linear	351542	PRJNA747871:OG609_45920	[335704:336262](+)	['XRE family transcriptional regulator']	88.649	2.76e-117	100
33	Tpg	NBC_01662	CP109242	['Streptomyces anthocyanicus']	chromosome	linear	8651515	PRJNA747871:OG855_39110	[8635680:8636238](+)	['XRE family transcriptional regulator']	89.189	3.84e-117	100
34	Tpg	NBC_01235	CP108513	['Streptomyces sp. NBC_01235']	chromosome	linear	11090044	PRJNA747871:OG289_49470	[11076464:11077022](+)	['XRE family transcriptional regulator']	87.568	9.340000000000001e-117	100
35	Tpg	NBC_01235	CP108513	['Streptomyces sp. NBC_01235']	chromosome	linear	11090044	PRJNA747871:OG289_00040	[13042:13600](-)	['XRE family transcriptional regulator']	87.568	9.340000000000001e-117	100
36	Tpg	NBC_01462	CP109470	['Streptomyces sp. NBC_01462']	chromosome	linear	10423316	PRJNA747871:OG445_41425	[9502269:9502827](+)	['XRE family transcriptional regulator']	87.027	1.84e-116	100
37	Tpg	NBC_01409	CP109531	['Streptomyces phaeochromogenes']	chromosome	linear	11619802	PRJNA747871:OG418_00265	[52255:52813](-)	['XRE family transcriptional regulator']	88.108	2.1000000000000002e-116	100
38	Tpg	NBC_01248	CP108477	['Streptomyces mirabilis']	chromosome	linear	11781953	PRJNA747871:OG213_53970	[11779941:11780499](+)	['XRE family transcriptional regulator']	87.027	4.79e-116	100
39	Tpg	NBC_01248	CP108477	['Streptomyces mirabilis']	chromosome	linear	11781953	PRJNA747871:OG213_00015	[1454:2012](-)	['XRE family transcriptional regulator']	87.027	4.79e-116	100
40	Tpg	NBC_00871	CP108808	['Streptomyces canus']	chromosome	linear	10740985	PRJNA747871:OH837_48700	[10711629:10712187](+)	['XRE family transcriptional regulator']	86.486	5.96e-116	100
41	Tpg	NBC_00871	CP108808	['Streptomyces canus']	chromosome	linear	10740985	PRJNA747871:OH837_00115	[30133:30691](-)	['XRE family transcriptional regulator']	86.486	5.96e-116	100
42	Tpg	NBC_00197	CP108128	['Streptomyces sp. NBC 00197']	chromosome	linear	9282310	PRJNA747871:OHU08_40515	[9263862:9264420](+)	['XRE family transcriptional regulator']	85.946	7.18e-116	100
43	Tpg	NBC_00197	CP108128	['Streptomyces sp. NBC 00197']	chromosome	linear	9282310	PRJNA747871:OHU08_00050	[17890:18448](-)	['XRE family transcriptional regulator']	85.946	7.18e-116	100
44	Tpg	NBC_01636	CP109276	['Streptomyces anthocyanicus']	plasmid	linear	387208	PRJNA747871:OH747_40450	[171213:171771](+)	['XRE family transcriptional regulator']	85.946	8.47e-116	100
45	Tpg	NBC_00057	CP108256	['Streptomyces sp. NBC 00057']	chromosome	linear	9128849	PRJNA747871:OG953_41135	[8762928:8763486](+)	['XRE family transcriptional regulator']	86.486	2.1499999999999997e-115	100
46	Tpg	NBC_00670	CP109017	['Streptomyces sp. NBC 00670']	chromosome	linear	7583196	PRJNA747871:OIE12_00145	[32592:33150](-)	['XRE family transcriptional regulator']	86.486	2.2499999999999997e-115	100
47	Tpg	NBC_01745	CP109147	['Streptomyces globisporus']	plasmid	linear	231877	PRJNA747871:OG838_35910	[23103:23661](+)	['XRE family transcriptional regulator']	88.108	3.3699999999999996e-115	100
48	Tpg	NBC_01185	CP108587	['Streptomyces sp. NBC_01185']	chromosome	linear	8411192	PRJNA747871:OG770_37555	[8399106:8399664](+)	['XRE family transcriptional regulator']	86.486	8.949999999999999e-115	100
49	Tpg	NBC_01185	CP108587	['Streptomyces sp. NBC_01185']	chromosome	linear	8411192	PRJNA747871:OG770_00040	[11525:12083](-)	['XRE family transcriptional regulator']	86.486	8.949999999999999e-115	100
50	Tpg	NBC_01450	CP109481	['Streptomyces sp. NBC_01450']	plasmid	linear	2351338	PRJNA747871:OG568_57690	[1963120:1963678](+)	['XRE family transcriptional regulator']	85.946	9.45e-115	100
51	Tpg	NBC_00515	CP107841	['Streptomyces europaeiscabiei']	chromosome	linear	10755582	PRJNA747871:OG858_46835	[10743435:10743993](+)	['XRE family transcriptional regulator']	86.486	1.0599999999999999e-114	100
52	Tpg	NBC_00515	CP107841	['Streptomyces europaeiscabiei']	chromosome	linear	10755582	PRJNA747871:OG858_00050	[11587:12145](-)	['XRE family transcriptional regulator']	86.486	1.0599999999999999e-114	100
53	Tpg	NBC_00363	CP107972	['Streptomyces europaeiscabiei']	chromosome	linear	10757626	PRJNA747871:OHB46_46875	[10745485:10746043](+)	['XRE family transcriptional regulator']	86.486	1.0599999999999999e-114	100
54	Tpg	NBC_00363	CP107972	['Streptomyces europaeiscabiei']	chromosome	linear	10757626	PRJNA747871:OHB46_00050	[11583:12141](-)	['XRE family transcriptional regulator']	86.486	1.0599999999999999e-114	100
55	Tpg	NBC_00566	CP107784	['Streptomyces sp. NBC 00566']	chromosome	linear	6411420	PRJNA747871:OG812_29500	[6356524:6357082](+)	['XRE family transcriptional regulator']	84.324	1.83e-114	100
56	Tpg	NBC_01210	CP108549	['Streptomyces sp. NBC_01210']	chromosome	linear	9076647	PRJNA747871:OG735_00390	[95617:96175](-)	['XRE family transcriptional regulator']	85.946	3.16e-114	100
57	Tpg	NBC_01601	CP109314	['Streptomyces sp. NBC 01601']	chromosome	linear	6514704	PRJNA747871:OG846_00255	[48131:48689](-)	['XRE family transcriptional regulator']	83.784	3.41e-114	100
58	Tpg	NBC_00017	CP108341	['Streptomyces purpurascens']	chromosome	linear	9188115	PRJNA747871:OHU35_41435	[9169567:9170125](+)	['XRE family transcriptional regulator']	85.946	4.44e-114	100
59	Tpg	NBC_00017	CP108341	['Streptomyces purpurascens']	chromosome	linear	9188115	PRJNA747871:OHU35_00075	[17986:18544](-)	['XRE family transcriptional regulator']	85.946	4.44e-114	100
60	Tpg	NBC_00185	CP108136	['[Kitasatospora] papulosa']	plasmid	linear	117709	PRJNA747871:OG560_34295	[97654:98212](+)	['XRE family transcriptional regulator']	85.405	4.95e-114	100
61	Tpg	NBC_01208	CP108553	['Streptomyces sp. NBC_01208']	plasmid	linear	120770	PRJNA747871:OG265_37145	[42053:42611](-)	['XRE family transcriptional regulator']	85.405	4.95e-114	100
62	Tpg	NBC_01208	CP108553	['Streptomyces sp. NBC_01208']	plasmid	linear	120770	PRJNA747871:OG265_36970	[4443:5001](+)	['XRE family transcriptional regulator']	85.405	4.95e-114	100
63	Tpg	NBC_01562	CP109357	['Streptomyces sp. NBC 01562']	plasmid	linear	1007905	PRJNA747871:OG854_52310	[681199:681757](+)	['XRE family transcriptional regulator']	85.405	6.44e-114	100
64	Tpg	NBC_01483	CP109439	['Streptomyces sp. NBC_01483']	plasmid	linear	1564239	PRJNA747871:OG318_55010	[533834:534392](-)	['XRE family transcriptional regulator']	85.405	6.44e-114	100
65	Tpg	NBC_01340	CP108366	['Streptomyces sp. NBC_01340']	plasmid	linear	1707477	PRJNA747871:OG585_51510	[956842:957400](+)	['XRE family transcriptional regulator']	85.405	6.44e-114	100
66	Tpg	NBC_00379	CP107957	['Streptomyces mirabilis']	chromosome	linear	11832677	PRJNA747871:OG981_53650	[11787267:11787825](+)	['XRE family transcriptional regulator']	86.486	6.66e-114	100
67	Tpg	NBC_00379	CP107957	['Streptomyces mirabilis']	chromosome	linear	11832677	PRJNA747871:OG981_00175	[44853:45411](-)	['XRE family transcriptional regulator']	86.486	6.66e-114	100
68	Tpg	NBC_00289	CP108049	['Streptomyces sp. NBC 00289']	plasmid	linear	89854	PRJNA747871:OG985_50225	[82712:83270](+)	['XRE family transcriptional regulator']	84.865	9.15e-114	100
69	Tpg	NBC_01788	CP109090	['Streptomyces sp. NBC 01788']	chromosome	linear	8269445	PRJNA747871:OIE49_01375	[274495:275053](-)	['XRE family transcriptional regulator']	86.486	1.31e-113	100
70	Tpg	NBC_01391	CP109550	['Streptomyces microflavus']	chromosome	linear	8034003	PRJNA747871:OG270_35655	[8023193:8023751](+)	['XRE family transcriptional regulator']	85.946	1.73e-113	100
71	Tpg	NBC_01391	CP109550	['Streptomyces microflavus']	chromosome	linear	8034003	PRJNA747871:OG270_00040	[10233:10791](-)	['XRE family transcriptional regulator']	85.946	1.73e-113	100
72	Tpg	NBC_01595	CP109321	['Streptomyces microflavus']	plasmid	linear	141907	PRJNA747871:OH770_35970	[124474:125032](+)	['XRE family transcriptional regulator']	85.405	1.81e-113	100
73	Tpg	NBC_01217	CP108538	['Streptomyces sp. NBC_01217']	chromosome	linear	8890693	PRJNA747871:OG507_00570	[133398:133956](-)	['XRE family transcriptional regulator']	84.865	1.83e-113	100
74	Tpg	NBC_01288	CP108427	['Streptomyces sp. NBC_01288']	chromosome	linear	10558057	PRJNA747871:OG194_47525	[10546855:10547413](+)	['XRE family transcriptional regulator']	84.865	2.77e-113	100
75	Tpg	NBC_01288	CP108427	['Streptomyces sp. NBC_01288']	chromosome	linear	10558057	PRJNA747871:OG194_00040	[10656:11214](-)	['XRE family transcriptional regulator']	84.865	2.77e-113	100
76	Tpg	NBC_01798	CP109077	['Streptomyces microflavus']	chromosome	linear	8068458	PRJNA747871:OHB31_35305	[7989730:7990288](+)	['XRE family transcriptional regulator']	83.784	3.45e-113	100
77	Tpg	NBC_01684	CP109210	['Streptomyces microflavus']	chromosome	linear	8296325	PRJNA747871:OIE98_36040	[8178504:8179062](+)	['XRE family transcriptional regulator']	83.784	3.45e-113	100
78	Tpg	NBC_01184	CP108588	['Streptomyces microflavus']	chromosome	linear	8340736	PRJNA747871:OG269_01565	[327435:327993](-)	['XRE family transcriptional regulator']	83.784	3.45e-113	100
79	Tpg	NBC_01168	CP108611	['Streptomyces microflavus']	chromosome	linear	8830571	PRJNA747871:OG721_37180	[8410927:8411485](+)	['XRE family transcriptional regulator']	83.784	3.45e-113	100
80	Tpg	NBC_01538	CP109391	['Streptomyces sp. NBC_01538']	chromosome	linear	10306119	PRJNA747871:OG750_00630	[139280:139838](-)	['XRE family transcriptional regulator']	85.946	5.0099999999999997e-113	100
81	Tpg	NBC_01537	CP109392	['Streptomyces sp. NBC_01537']	chromosome	linear	9903391	PRJNA747871:OG607_01595	[305750:306308](-)	['XRE family transcriptional regulator']	83.784	6.45e-113	100
82	Tpg	NBC_01497	CP109428	['Streptomyces sp. NBC_01497']	plasmid	linear	528823	PRJNA747871:OG310_38210	[485945:486503](+)	['XRE family transcriptional regulator']	83.784	1.34e-112	100
83	Tpg	NBC_00008	CP108314	['Streptomyces sp. NBC_00008']	extrachromosomal	linear	73601	PRJNA747871:OG398_38465	[10561:11119](-)	['XRE family transcriptional regulator']	84.324	1.37e-112	100
84	Tpg	NBC_00008	CP108313	['Streptomyces sp. NBC_00008']	chromosome	linear	8550141	PRJNA747871:OG398_38360	[8539052:8539610](+)	['XRE family transcriptional regulator']	84.324	1.37e-112	100
85	Tpg	NBC_00008	CP108313	['Streptomyces sp. NBC_00008']	chromosome	linear	8550141	PRJNA747871:OG398_00050	[6966:7524](-)	['XRE family transcriptional regulator']	84.324	1.37e-112	100
86	Tpg	NBC_00250	CP108089	['Streptomyces sp. NBC_00250']	plasmid	linear	111822	PRJNA747871:OG259_41615	[97357:97915](+)	['XRE family transcriptional regulator']	83.784	1.44e-112	100
87	Tpg	NBC_01595	CP109320	['Streptomyces microflavus']	chromosome	linear	8030651	PRJNA747871:OH770_00825	[180331:180889](-)	['XRE family transcriptional regulator']	84.865	2.68e-112	100
88	Tpg	NBC_01346	CP108360	['Streptomyces microflavus']	chromosome	linear	8434431	PRJNA747871:OG227_01415	[321810:322368](-)	['XRE family transcriptional regulator']	84.865	2.68e-112	100
89	Tpg	NBC_01194	CP108575	['Streptomyces microflavus']	chromosome	linear	8546813	PRJNA747871:OG728_01490	[316710:317268](-)	['XRE family transcriptional regulator']	84.865	2.68e-112	100
90	Tpg	NBC_01012	CP108688	['Streptomyces sp. NBC_01012']	chromosome	linear	7722973	PRJNA747871:OG623_34495	[7718411:7718969](+)	['XRE family transcriptional regulator']	85.405	3.06e-112	100
91	Tpg	NBC_01012	CP108688	['Streptomyces sp. NBC_01012']	chromosome	linear	7722973	PRJNA747871:OG623_00010	[3998:4556](-)	['XRE family transcriptional regulator']	85.405	3.06e-112	100
92	Tpg	NBC_01262	CP108462	['Streptomyces sp. NBC_01262']	chromosome	linear	9736065	PRJNA747871:OG757_43315	[9409921:9410479](+)	['XRE family transcriptional regulator']	83.784	3.6899999999999997e-112	100
93	Tpg	NBC_00381	CP107955	['Streptomyces mirabilis']	chromosome	linear	12912080	PRJNA747871:OHB25_09770	[1972020:1972575](-)	['XRE family transcriptional regulator']	85.946	6.73e-112	100
94	Tpg	NBC_01579	CP109345	['Streptomyces sp. NBC 01579']	plasmid	linear	96677	PRJNA747871:OHA20_44175	[16045:16603](-)	['XRE family transcriptional regulator']	83.784	9.27e-112	100
95	Tpg	NBC_01346	CP108360	['Streptomyces microflavus']	chromosome	linear	8434431	PRJNA747871:OG227_37610	[8371033:8371591](+)	['XRE family transcriptional regulator']	85.405	1.25e-111	100
96	Tpg	NBC_01684	CP109210	['Streptomyces microflavus']	chromosome	linear	8296325	PRJNA747871:OIE98_36305	[8240521:8241079](+)	['XRE family transcriptional regulator']	84.865	1.36e-111	100
97	Tpg	NBC_01463	CP109468	['Streptomyces sp. NBC_01463']	chromosome	linear	9007178	PRJNA747871:OG521_39555	[8999179:8999737](+)	['XRE family transcriptional regulator']	86.486	2.13e-111	100
98	Tpg	NBC_01463	CP109468	['Streptomyces sp. NBC_01463']	chromosome	linear	9007178	PRJNA747871:OG521_00030	[7391:7949](-)	['XRE family transcriptional regulator']	86.486	2.13e-111	100
99	Tpg	NBC_01766	CP109120	['Streptomyces sp. NBC 01766']	plasmid	linear	155818	PRJNA747871:OIE60_36495	[51029:51587](-)	['XRE family transcriptional regulator']	82.703	3.06e-111	100
100	Tpg	NBC_01387	CP109557	['Streptomyces sp. NBC_01387']	plasmid	linear	149618	PRJNA747871:OG204_35355	[50953:51511](-)	['XRE family transcriptional regulator']	82.703	3.06e-111	100
101	Tpg	NBC_01267	CP108456	['Streptomyces sp. NBC_01267']	plasmid	linear	149100	PRJNA747871:OG709_35365	[98138:98696](+)	['XRE family transcriptional regulator']	82.703	3.06e-111	100
102	Tpg	NBC_01014	CP108686	['Streptomyces sp. NBC_01014']	plasmid	linear	150848	PRJNA747871:OG282_35315	[99577:100135](+)	['XRE family transcriptional regulator']	82.703	3.06e-111	100
103	Tpg	NBC_01021	CP108676	['Streptomyces prunicolor']	chromosome	linear	10948847	PRJNA747871:OG588_49260	[10910296:10910854](+)	['XRE family transcriptional regulator']	88.108	3.49e-111	100
104	Tpg	NBC_01021	CP108676	['Streptomyces prunicolor']	chromosome	linear	10948847	PRJNA747871:OG588_00165	[37995:38553](-)	['XRE family transcriptional regulator']	88.108	3.49e-111	100
105	Tpg	NBC_00299	CP108040	['Streptomyces sp. NBC 00299']	plasmid	linear	222614	PRJNA747871:OHT51_43040	[160110:160668](+)	['XRE family transcriptional regulator']	84.865	3.81e-111	100
106	Tpg	NBC_01216	CP108680	['Streptomyces sp. NBC_01216']	plasmid	linear	107176	PRJNA747871:OG393_35030	[5353:5911](+)	['XRE family transcriptional regulator']	83.243	4.3e-111	100
107	Tpg	NBC_00501	CP107859	['Streptomyces anulatus']	plasmid	linear	130157	PRJNA747871:OG951_38835	[18746:19304](-)	['XRE family transcriptional regulator']	83.243	6.32e-111	100
108	Tpg	NBC_00691	CP109007	['Streptomyces sp. NBC_00691']	chromosome	linear	8302280	PRJNA747871:OG392_36685	[8184122:8184680](+)	['XRE family transcriptional regulator']	84.324	7.13e-111	100
109	Tpg	NBC_01104	CP108652	['Streptomyces sp. NBC_01104']	chromosome	linear	9073094	PRJNA747871:OG450_00020	[3607:4165](-)	['XRE family transcriptional regulator']	85.946	7.28e-111	100
110	Tpg	NBC_01683	CP109211	['Streptomyces microflavus']	chromosome	linear	8330854	PRJNA747871:OHA24_37360	[8298529:8299087](+)	['XRE family transcriptional regulator']	84.324	7.36e-111	100
111	Tpg	NBC_01683	CP109211	['Streptomyces microflavus']	chromosome	linear	8330854	PRJNA747871:OHA24_00160	[31830:32388](-)	['XRE family transcriptional regulator']	84.324	7.36e-111	100
112	Tpg	NBC_00483	CP107880	['Streptomyces sp. NBC 00483']	chromosome	linear	10237418	PRJNA747871:OHA73_45550	[10210184:10210742](+)	['XRE family transcriptional regulator']	83.784	8.78e-111	100
113	Tpg	NBC_00483	CP107880	['Streptomyces sp. NBC 00483']	chromosome	linear	10237418	PRJNA747871:OHA73_00160	[26726:27284](-)	['XRE family transcriptional regulator']	83.784	8.78e-111	100
114	Tpg	NBC_01595	CP109321	['Streptomyces microflavus']	plasmid	linear	141907	PRJNA747871:OH770_35465	[23821:24379](+)	['XRE family transcriptional regulator']	84.324	1.09e-110	100
115	Tpg	NBC_01684	CP109210	['Streptomyces microflavus']	chromosome	linear	8296325	PRJNA747871:OIE98_00070	[13722:14280](+)	['XRE family transcriptional regulator']	85.405	1.1700000000000001e-110	100
116	Tpg	NBC_01184	CP108588	['Streptomyces microflavus']	chromosome	linear	8340736	PRJNA747871:OG269_00070	[13681:14239](+)	['XRE family transcriptional regulator']	85.405	1.1700000000000001e-110	100
117	Tpg	NBC_01168	CP108611	['Streptomyces microflavus']	chromosome	linear	8830571	PRJNA747871:OG721_38575	[8700529:8701087](-)	['XRE family transcriptional regulator']	85.405	1.1700000000000001e-110	100
118	Tpg	NBC_01798	CP109077	['Streptomyces microflavus']	chromosome	linear	8068458	PRJNA747871:OHB31_35540	[8039563:8040121](+)	['XRE family transcriptional regulator']	84.324	1.8300000000000002e-110	100
119	Tpg	NBC_01184	CP108588	['Streptomyces microflavus']	chromosome	linear	8340736	PRJNA747871:OG269_01320	[276367:276925](-)	['XRE family transcriptional regulator']	84.324	1.8300000000000002e-110	100
120	Tpg	NBC_01168	CP108611	['Streptomyces microflavus']	chromosome	linear	8830571	PRJNA747871:OG721_37425	[8461996:8462554](+)	['XRE family transcriptional regulator']	84.324	1.8300000000000002e-110	100
121	Tpg	NBC_00470	CP107890	['Streptomyces sp. NBC 00470']	plasmid	linear	495813	PRJNA747871:OHV16_49265	[207572:208130](+)	['XRE family transcriptional regulator']	82.162	1.8300000000000002e-110	100
122	Tpg	NBC_01240	CP108499	['Streptomyces sp. NBC_01240']	plasmid	linear	129922	PRJNA747871:OG466_40095	[12005:12563](-)	['XRE family transcriptional regulator']	82.703	6.97e-110	100
123	Tpg	NBC_01238	CP130723	['Streptomyces sp. NBC_01238']	plasmid	linear	133137	PRJNA747871:OG382_38870	[12006:12564](-)	['XRE family transcriptional regulator']	82.703	6.97e-110	100
124	Tpg	NBC_01595	CP109320	['Streptomyces microflavus']	chromosome	linear	8030651	PRJNA747871:OH770_35265	[8007509:8008067](+)	['XRE family transcriptional regulator']	84.324	7.210000000000001e-110	100
125	Tpg	NBC_00302	CP108038	['Streptomyces bobili']	chromosome	linear	9287515	PRJNA747871:OHT53_00265	[44910:45468](-)	['XRE family transcriptional regulator']	82.703	1.39e-109	100
126	Tpg	NBC_01684	CP109210	['Streptomyces microflavus']	chromosome	linear	8296325	PRJNA747871:OIE98_00700	[149288:149846](+)	['XRE family transcriptional regulator']	84.865	2.23e-109	100
127	Tpg	NBC_01184	CP108588	['Streptomyces microflavus']	chromosome	linear	8340736	PRJNA747871:OG269_00700	[147977:148535](+)	['XRE family transcriptional regulator']	84.865	2.23e-109	100
128	Tpg	NBC_01168	CP108611	['Streptomyces microflavus']	chromosome	linear	8830571	PRJNA747871:OG721_38050	[8590388:8590946](-)	['XRE family transcriptional regulator']	84.865	2.23e-109	100
129	Tpg	NBC_00882	CP108797	['Streptomyces sp. NBC 00882']	chromosome	linear	10957798	PRJNA747871:OG806_49205	[10785596:10786154](+)	['XRE family transcriptional regulator']	83.243	2.93e-109	100
130	Tpg	NBC_00443	CP107917	['Streptomyces sp. NBC 00443']	chromosome	linear	9449954	PRJNA747871:OHO27_00125	[26781:27339](-)	['XRE family transcriptional regulator']	83.243	3e-109	100
131	Tpg	NBC_00035	CP108291	['Streptomyces sp. NBC_00035']	chromosome	linear	10425166	PRJNA747871:OG438_47000	[10415546:10416104](+)	['XRE family transcriptional regulator']	82.703	3.86e-109	100
132	Tpg	NBC_00035	CP108291	['Streptomyces sp. NBC_00035']	chromosome	linear	10425166	PRJNA747871:OG438_00040	[9062:9620](-)	['XRE family transcriptional regulator']	82.703	3.86e-109	100
133	Tpg	NBC_01594	CP109322	['Streptomyces sp. NBC 01594']	chromosome	linear	10712234	PRJNA747871:OG856_46835	[10100632:10101190](+)	['XRE family transcriptional regulator']	82.162	3.99e-109	100
134	Tpg	NBC_01589	CP109333	['Streptomyces sp. NBC 01589']	chromosome	linear	10719239	PRJNA747871:OHA59_47090	[10093499:10094057](+)	['XRE family transcriptional regulator']	82.162	3.99e-109	100
135	Tpg	NBC_00289	CP108049	['Streptomyces sp. NBC 00289']	plasmid	linear	89854	PRJNA747871:OG985_49855	[14769:15327](-)	['XRE family transcriptional regulator']	88.108	7.62e-109	100
